P_ro^2    , Nu        , Ra        , Re        , Ro        , S         , Ta        , Co        
7.1816e-01, 5.1600e+00, 2.6600e+05, 1.1210e+02, 9.5640e-02, 2.1500e+00, 2.6600e+07, 1.0000e-01
1.2686e+00, 3.3320e+01, 2.5900e+06, 5.6510e+02, 2.6980e-01, 4.6400e+00, 2.5900e+08, 1.0000e-01
9.5678e-01, 9.5030e+00, 8.3800e+05, 2.4304e+02, 1.4110e-01, 3.1600e+00, 8.3800e+07, 1.0000e-01
5.4074e-01, 2.1640e+00, 8.5500e+04, 4.0211e+01, 5.1300e-02, 1.4700e+00, 8.5500e+06, 1.0000e-01
1.3209e+00, 3.3060e+00, 4.1760e+03, 2.6770e+01, 2.1480e-01, 2.1500e+00, 4.6400e+04, 3.0000e-01
2.2690e+00, 9.0900e+00, 3.6360e+04, 9.1640e+01, 4.0500e-01, 4.6400e+00, 4.0400e+05, 3.0000e-01
5.2637e+00, 2.7300e+01, 1.0530e+06, 5.2960e+02, 8.0770e-01, 1.4700e+01, 1.1700e+07, 3.0000e-01
1.0116e+00, 1.7870e+00, 1.4364e+03, 1.1324e+01, 1.2410e-01, 1.4700e+00, 1.5960e+04, 3.0000e-01
1.7252e+00, 5.7800e+00, 1.2153e+04, 5.1043e+01, 3.0840e-01, 3.1600e+00, 1.3503e+05, 3.0000e-01
3.9726e+00, 1.8140e+01, 3.4165e+05, 2.7761e+02, 6.1400e-01, 1.0000e+01, 3.7961e+06, 3.0000e-01
3.2818e+00, 2.1520e+00, 1.1600e+02, 6.9040e+00, 4.6280e-01, 2.1500e+00, 1.1600e+02, 1.0000e+00
5.0297e+00, 4.3150e+00, 6.4000e+02, 2.0020e+01, 8.1660e-01, 4.6400e+00, 6.4000e+02, 1.0000e+00
8.1398e+00, 7.9790e+00, 4.3900e+03, 5.2750e+01, 1.2060e+00, 1.0000e+01, 4.3900e+03, 1.0000e+00
1.0466e+01, 1.0730e+01, 1.2000e+04, 8.5820e+01, 1.4480e+00, 1.4700e+01, 1.2000e+04, 1.0000e+00
1.3589e+01, 1.4290e+01, 3.4100e+04, 1.3960e+02, 1.7230e+00, 2.1500e+01, 3.4100e+04, 1.0000e+00
1.7827e+01, 2.0210e+01, 1.0100e+05, 2.2980e+02, 2.0120e+00, 3.1600e+01, 1.0100e+05, 1.0000e+00
2.3325e+01, 2.5800e+01, 2.9600e+05, 3.7330e+02, 2.4120e+00, 4.6400e+01, 2.9600e+05, 1.0000e+00
3.1004e+01, 2.7690e+01, 9.2400e+05, 5.8730e+02, 2.5430e+00, 6.8100e+01, 9.2400e+05, 1.0000e+00
4.0796e+01, 4.6550e+01, 2.7700e+06, 1.0990e+03, 3.3570e+00, 1.0000e+02, 2.7700e+06, 1.0000e+00
2.7202e+00, 1.5400e+00, 5.4750e+01, 3.6310e+00, 3.0290e-01, 1.4700e+00, 5.4750e+01, 1.0000e+00
