P_ro^2    , Nu        , Ra        , Re        , Ro        , S         , Ta        , Co 
9.1585e-01, 1.2310e+00, 5.1500e+02, 4.2250e+00, 7.3600e-02, 1.1262e+00, 4.6400e+03, 3.3315e-01
9.1585e-01, 1.4440e+00, 9.1600e+02, 7.0540e+00, 9.4400e-02, 1.2424e+00, 1.0000e+04, 3.0265e-01
9.1585e-01, 1.6310e+00, 1.6300e+03, 1.0455e+01, 1.0210e-01, 1.3642e+00, 2.1500e+04, 2.7534e-01
9.1585e-01, 1.9140e+00, 2.8900e+03, 1.4787e+01, 1.1220e-01, 1.4811e+00, 4.6400e+04, 2.4957e-01
9.1585e-01, 2.2290e+00, 5.1500e+03, 2.0512e+01, 1.1900e-01, 1.6106e+00, 1.0000e+05, 2.2694e-01
9.1585e-01, 2.6040e+00, 9.1600e+03, 2.7624e+01, 1.2410e-01, 1.7448e+00, 2.1500e+05, 2.0641e-01
9.1585e-01, 3.0710e+00, 1.6300e+04, 3.6608e+01, 1.2840e-01, 1.8819e+00, 4.6400e+05, 1.8743e-01
9.1585e-01, 3.5920e+00, 2.9100e+04, 4.9488e+01, 1.3170e-01, 2.0313e+00, 1.0000e+06, 1.7059e-01
9.1585e-01, 4.1700e+00, 5.1500e+04, 6.2091e+01, 1.3110e-01, 2.1749e+00, 2.1500e+06, 1.5477e-01
9.1585e-01, 4.9100e+00, 9.1600e+04, 8.2395e+01, 1.3290e-01, 2.3308e+00, 4.6400e+06, 1.4050e-01
9.1585e-01, 5.6240e+00, 1.6300e+05, 1.0605e+02, 1.2990e-01, 2.4960e+00, 1.0000e+07, 1.2767e-01
9.1585e-01, 7.0700e+00, 2.8900e+05, 1.4388e+02, 1.3530e-01, 2.6683e+00, 2.1500e+07, 1.1594e-01
9.1585e-01, 7.4850e+00, 5.1500e+05, 1.8355e+02, 1.3020e-01, 2.8541e+00, 4.6400e+07, 1.0535e-01
9.1585e-01, 9.3620e+00, 9.1600e+05, 2.3823e+02, 1.3110e-01, 3.0491e+00, 1.0000e+08, 9.5708e-02
2.4964e+00, 1.6510e+00, 7.8900e+01, 4.4270e+00, 3.0250e-01, 1.5640e+00, 1.0000e+02, 8.8826e-01
2.4964e+00, 1.9880e+00, 1.4000e+02, 6.5980e+00, 3.4870e-01, 1.8573e+00, 2.1500e+02, 8.0695e-01
2.4964e+00, 2.3950e+00, 2.4900e+02, 9.4070e+00, 3.8600e-01, 2.1504e+00, 4.6400e+02, 7.3256e-01
2.4964e+00, 2.8930e+00, 4.4400e+02, 1.3046e+01, 4.1510e-01, 2.4553e+00, 1.0000e+03, 6.6633e-01
2.4964e+00, 3.4360e+00, 7.8900e+02, 1.7797e+01, 4.3340e-01, 2.7612e+00, 2.1500e+03, 6.0579e-01
2.4964e+00, 4.1560e+00, 1.4000e+03, 2.3151e+01, 4.4990e-01, 3.0614e+00, 4.6400e+03, 5.4929e-01
2.4964e+00, 4.8740e+00, 2.4900e+03, 3.0249e+01, 4.5490e-01, 3.3772e+00, 1.0000e+04, 4.9900e-01
2.4964e+00, 5.6790e+00, 4.4400e+03, 3.8699e+01, 4.5870e-01, 3.7161e+00, 2.1500e+04, 4.5444e-01
2.4964e+00, 6.6190e+00, 7.8900e+03, 5.0528e+01, 4.5710e-01, 4.0437e+00, 4.6400e+04, 4.1236e-01
2.4964e+00, 7.6090e+00, 1.4000e+04, 6.3791e+01, 4.5340e-01, 4.3784e+00, 1.0000e+05, 3.7417e-01
2.4964e+00, 8.6900e+00, 2.4900e+04, 8.0957e+01, 4.4780e-01, 4.7429e+00, 2.1500e+05, 3.4031e-01
2.4964e+00, 1.0021e+01, 4.4400e+04, 1.0223e+02, 4.3970e-01, 5.1261e+00, 4.6400e+05, 3.0934e-01
2.4964e+00, 1.1617e+01, 7.8900e+04, 1.3458e+02, 4.4060e-01, 5.5075e+00, 1.0000e+06, 2.8089e-01
2.4964e+00, 1.2756e+01, 1.4000e+05, 1.6936e+02, 4.2050e-01, 5.9124e+00, 2.1500e+06, 2.5518e-01
2.4964e+00, 1.5082e+01, 2.4900e+05, 2.2386e+02, 4.2010e-01, 6.3360e+00, 4.6400e+06, 2.3165e-01
2.4964e+00, 1.6983e+01, 4.4400e+05, 2.9244e+02, 4.1060e-01, 6.7990e+00, 1.0000e+07, 2.1071e-01
2.4964e+00, 1.8374e+01, 7.8900e+05, 3.4878e+02, 3.9370e-01, 7.2846e+00, 2.1500e+07, 1.9157e-01
2.4964e+00, 2.0822e+01, 1.4000e+06, 4.6072e+02, 3.8550e-01, 7.7588e+00, 4.6400e+07, 1.7370e-01
2.4964e+00, 2.6434e+01, 2.4900e+06, 6.2934e+02, 3.9780e-01, 8.2884e+00, 1.0000e+08, 1.5780e-01
