P_ro^2    , Nu        , Ra        , Re        , Ro        , Supercrit , Ta        , Color     
1.0000e+02, 0.00000000, 1.8660e+01, 2.9710e+00, 3.6680e+00, 2.0000e+00, 1.0670e-01, 1.0000e+00
4.9000e+01, 0.00000000, 2.1260e+01, 3.5680e+00, 2.4360e+00, 2.0000e+00, 3.2850e-01, 1.0000e+00
2.5000e+01, 0.00000000, 2.4040e+01, 3.9160e+00, 1.5990e+00, 2.0000e+00, 9.4940e-01, 1.0000e+00
1.1363e+00, 3.1330e+00, 6.3900e+03, 2.9075e+01, 1.7500e-01, 2.0000e+00, 1.0000e+05, 1.0000e+00
9.2022e-01, 3.6060e+00, 2.9100e+04, 4.9488e+01, 1.3170e-01, 2.0000e+00, 1.0000e+06, 1.0000e+00
7.4791e-01, 4.0130e+00, 1.3300e+05, 8.0267e+01, 9.6200e-02, 2.0000e+00, 1.0000e+07, 1.0000e+00
6.9175e+00, 1.9490e+00, 3.8900e+01, 4.6160e+00, 7.4050e-01, 2.0000e+00, 1.0000e+01, 1.0000e+00
3.2255e+00, 2.0620e+00, 1.0200e+02, 6.2550e+00, 4.4150e-01, 2.0000e+00, 1.0000e+02, 1.0000e+00
1.9907e+00, 2.3270e+00, 3.5400e+02, 1.0090e+01, 3.1010e-01, 2.0000e+00, 1.0000e+03, 1.0000e+00
1.4500e+00, 2.6960e+00, 1.4500e+03, 1.7213e+01, 2.3230e-01, 2.0000e+00, 1.0000e+04, 1.0000e+00
5.0596e-01, 1.2490e+00, 1.6000e+04, 1.0898e+01, 2.9000e-02, 1.1000e+00, 1.0000e+06, 1.0000e+00
4.1107e-01, 1.2740e+00, 7.3100e+04, 1.6658e+01, 2.0600e-02, 1.1000e+00, 1.0000e+07, 1.0000e+00
1.0000e+02, 0.00000000, 3.0150e+01, 4.9990e+00, 4.4180e+00, 3.0000e+00, 2.0220e-01, 1.0000e+00
4.9000e+01, 0.00000000, 3.4350e+01, 5.5180e+00, 2.9020e+00, 3.0000e+00, 6.2270e-01, 1.0000e+00
2.5000e+01, 0.00000000, 3.8840e+01, 6.0600e+00, 1.9250e+00, 3.0000e+00, 1.7990e+00, 1.0000e+00
1.0385e+01, 2.4580e+00, 5.8400e+01, 6.8740e+00, 1.1319e+00, 3.0000e+00, 1.0000e+01, 1.0000e+00
4.8383e+00, 2.7710e+00, 1.5300e+02, 9.5130e+00, 7.0300e-01, 3.0000e+00, 1.0000e+02, 1.0000e+00
2.9804e+00, 3.3800e+00, 5.3000e+02, 1.5440e+01, 5.0880e-01, 3.0000e+00, 1.0000e+03, 1.0000e+00
2.1700e+00, 4.2940e+00, 2.1700e+03, 2.6418e+01, 3.9230e-01, 3.0000e+00, 1.0000e+04, 1.0000e+00
1.7054e+00, 5.4610e+00, 9.5900e+03, 4.6786e+01, 3.0750e-01, 3.0000e+00, 1.0000e+05, 1.0000e+00
1.3819e+00, 6.5620e+00, 4.3700e+04, 7.9983e+01, 2.3310e-01, 3.0000e+00, 1.0000e+06, 1.0000e+00
1.1191e+00, 7.6970e+00, 1.9900e+05, 1.3510e+02, 1.7250e-01, 3.0000e+00, 1.0000e+07, 1.0000e+00
2.2762e+00, 7.0650e+00, 1.2800e+04, 6.0536e+01, 4.1520e-01, 4.0000e+00, 1.0000e+05, 1.0000e+00
2.8452e+00, 8.4890e+00, 1.6000e+04, 7.1428e+01, 5.1640e-01, 5.0000e+00, 1.0000e+05, 1.0000e+00
3.4143e+00, 9.3260e+00, 1.9200e+04, 8.0720e+01, 6.0030e-01, 6.0000e+00, 1.0000e+05, 1.0000e+00
5.6905e+00, 1.2383e+01, 3.2000e+04, 1.1266e+02, 9.0390e-01, 1.0000e+01, 1.0000e+05, 1.0000e+00
