Co_prime, Nu, Ra, Re, Ro, S, Ta
0.718158672111606, 5.16, 266000.0, 112.1, 0.09564, 2.15, 26600000.0
1.2686006834079462, 33.32, 2590000.0, 565.1, 0.2698, 4.64, 259000000.0
0.9567776122525362, 9.503, 838000.0, 243.038, 0.1411, 3.16, 83800000.0
0.5407437751322421, 2.164, 85500.0, 40.211, 0.0513, 1.47, 8550000.0
1.3209062788523565, 3.306, 4176.0, 26.77, 0.2148, 2.15, 46400.0
2.2690175276076885, 9.09, 36360.0, 91.64, 0.405, 4.64, 404000.0
5.263673890915835, 27.3, 1053000.0, 529.6, 0.8077, 14.7, 11700000.0
1.0115668966129991, 1.787, 1436.4, 11.324, 0.1241, 1.47, 15960.3
1.7252468287482008, 5.78, 12152.8, 51.043, 0.3084, 3.16, 135031.0
3.9726111984685155, 18.14, 341646.3, 277.611, 0.614, 10.0, 3796070.0
3.2818180349112906, 2.152, 116.0, 6.904, 0.4628, 2.15, 116.0
5.029733718731742, 4.315, 640.0, 20.02, 0.8166, 4.64, 640.0
8.139844906010788, 7.979, 4390.0, 52.75, 1.206, 10.0, 4390.0
10.466351393921057, 10.73, 12000.0, 85.82, 1.448, 14.7, 12000.0
13.589034297042373, 14.29, 34100.0, 139.6, 1.723, 21.5, 34100.0
17.827085337805897, 20.21, 101000.0, 229.8, 2.012, 31.6, 101000.0
23.325068496135604, 25.8, 296000.0, 373.3, 2.412, 46.4, 296000.0
31.004018888780102, 27.69, 924000.0, 587.3, 2.543, 68.1, 924000.0
40.79622161069973, 46.55, 2770000.0, 1099.0, 3.357, 100.0, 2770000.0
2.7201699015823206, 1.54, 54.75, 3.631, 0.3029, 1.47, 54.75
